Name,Avg,Hits,HR,RBI,Walks,OPS,Date
Alejandro Kirk,0.302,121,13,55,53,0.829,"2022,09,09"
Vladimir Guerrero Jr.,0.275,147,27,82,50,0.824,"2022,09,09"
Santiago Espinal,0.266,111,7,46,34,0.695,"2022,09,09"
Bo Bichette,0.275,151,22,80,35,0.776,"2022,09,09"
Matt Chapman,0.235,107,24,66,53,0.774,"2022,09,09"
Lourdes Gurriel Jr.,0.291,132,5,52,31,0.743,"2022,09,09"
George Springer,0.265,111,19,58,44,0.799,"2022,09,09"
Teoscar Hernandez,0.263,109,20,64,29,0.79,"2022,09,09"
Zack Collins,0.194,14,4,10,6,0.682,"2022,09,09"
Raimel Tapia,0.261,86,5,39,11,0.649,"2022,09,09"
Cavan Biggio,0.222,46,6,23,33,0.74,"2022,09,09"
Danny Jansen,0.218,32,11,30,15,0.752,"2022,09,09"
Bradley Zimmer,0.105,8,2,3,5,0.446,"2022,09,09"
Whit Merrifield,0.188,12,1,3,5,0.481,"2022,09,09"
Gabriel Moreno,0.276,16,0,4,2,0.593,"2022,09,09"
Jackie Bradley Jr.,0.2,8,0,6,4,0.573,"2022,09,09"
Tyler Heineman#,0.267,4,0,1,0,0.667,"2022,09,09"
Gosuke Katoh,0.143,1,0,0,3,0.686,"2022,09,09"
Vinny Capra,0.2,1,0,0,2,0.629,"2022,09,09"
